id,num_noun,num_verb,num_adj
0,8,3,5
1,6,1,2
2,5,2,3
3,5,2,1
4,4,1,2
5,5,4,2
6,9,2,0
7,6,2,3
8,6,1,2
9,5,1,2
10,10,1,0
11,5,0,0
12,10,1,0
13,5,1,1
14,3,0,1
15,6,1,0
16,2,0,0
17,7,5,5
18,7,1,0
19,5,0,1
20,6,1,1
21,5,1,0
22,6,2,1
23,10,2,1
24,6,2,1
25,5,1,1
26,4,3,0
27,6,1,2
28,3,0,3
29,16,2,2
30,5,1,0
31,4,1,1
32,6,1,2
33,3,1,2
34,7,1,1
35,6,0,1
36,2,1,1
37,7,2,0
38,7,1,1
39,6,0,1
40,6,0,0
41,7,1,1
42,6,1,2
43,7,1,3
44,5,2,2
45,6,0,2
46,3,1,1
47,11,8,7
48,7,2,1
49,6,2,0
50,4,0,0
51,6,1,1
52,6,1,2
53,10,1,3
54,4,2,4
55,22,3,2
56,9,1,0
57,7,2,3
58,6,0,1
59,3,1,2
60,6,1,0
61,6,2,1
62,5,2,0
63,4,2,2
64,7,1,0
65,6,1,2
66,5,1,4
67,8,1,4
68,6,2,4
69,6,1,2
70,5,2,2
71,7,2,0
72,3,1,4
73,5,2,1
74,3,0,3
75,8,1,1
76,8,2,2
77,2,3,3
78,3,1,1
79,6,2,1
80,7,1,2
81,5,1,2
82,7,2,0
83,7,2,1
84,5,2,2
85,2,1,2
86,10,2,0
87,6,2,2
88,4,1,0
89,4,2,1
90,11,0,0
91,6,1,0
92,8,2,1
93,4,1,4
94,5,1,2
95,5,1,1
96,2,0,2
97,4,2,3
98,7,2,1
99,4,0,1
100,12,0,0
101,3,0,2
102,6,1,1
103,7,3,1
104,8,1,1
105,6,1,1
106,6,2,0
107,6,2,2
108,6,1,0
109,3,4,6
110,4,0,2
111,4,1,2
112,8,1,1
113,9,1,0
114,6,1,0
115,2,2,1
116,6,3,0
117,4,2,1
118,5,2,0
119,2,2,2
120,4,0,2
121,2,1,3
122,7,1,0
123,7,1,0
124,6,2,0
125,5,1,0
126,5,0,2
127,6,2,2
128,7,1,2
129,7,1,1
130,6,0,0
131,10,1,0
132,7,1,0
133,5,1,2
134,5,1,2
135,4,1,4
136,5,1,4
137,7,0,1
138,8,1,4
139,8,1,1
140,6,1,0
141,8,2,0
142,5,2,4
143,4,1,5
144,3,0,1
145,2,2,2
146,8,3,1
147,6,1,0
148,9,2,2
149,6,2,2
150,10,1,0
151,5,0,2
152,5,3,0
153,4,1,3
154,3,1,1
155,5,0,3
156,6,0,1
157,8,1,1
158,12,0,0
159,8,0,1
160,12,0,2
161,6,0,0
162,5,1,0
163,7,2,1
164,5,2,1
165,8,1,3
166,8,1,2
167,3,2,0
168,5,0,4
169,10,3,0
170,3,1,3
171,4,3,2
172,5,1,1
173,2,2,1
174,3,0,2
175,6,1,1
176,3,1,1
177,7,1,1
178,5,1,1
179,7,0,1
180,3,0,1
181,2,0,0
182,10,1,0
183,20,3,6
184,9,1,1
185,9,3,2
186,4,2,1
187,4,2,2
188,3,1,1
189,9,1,0
190,5,3,3
191,6,1,0
192,6,0,2
193,4,2,2
194,10,2,1
195,5,2,1
196,6,1,1
197,5,1,1
198,4,2,1
199,5,2,0
200,6,0,0
201,7,1,1
202,6,1,1
203,5,2,2
204,9,1,1
205,9,0,1
206,6,0,1
207,8,2,1
208,6,0,0
209,3,2,2
210,7,0,1
211,8,1,1
212,10,1,1
213,3,2,0
214,6,1,1
215,3,0,1
216,3,2,0
217,6,1,1
218,8,4,1
219,9,0,0
220,11,0,1
221,2,2,0
222,5,2,1
223,8,0,1
224,3,0,1
225,9,3,3
226,6,3,0
227,8,0,0
228,2,3,3
229,4,1,1
230,5,1,0
231,20,3,0
232,5,2,2
233,5,0,1
234,3,2,1
235,4,2,0
236,4,1,0
237,8,2,0
238,7,1,2
239,2,1,1
240,7,2,0
241,16,2,3
242,7,2,0
243,5,1,3
244,3,1,2
245,4,0,2
246,4,1,1
247,5,3,0
248,7,2,0
249,3,1,0
250,4,2,2
251,4,1,0
252,6,2,3
253,4,1,3
254,2,2,2
255,7,1,0
256,3,3,2
257,4,1,2
258,4,1,2
259,4,1,1
260,11,1,1
261,5,1,1
262,5,0,2
263,5,0,0
264,5,3,1
265,6,1,1
266,3,2,1
267,6,1,2
268,26,3,6
269,1,3,3
270,6,2,1
271,3,2,0
272,4,2,4
273,10,1,3
274,8,5,4
275,9,1,0
276,6,1,0
277,5,2,0
278,5,2,2
279,4,3,5
280,7,2,2
281,5,2,2
282,8,0,1
283,2,0,3
284,7,2,2
285,4,3,0
286,8,1,0
287,6,0,1
288,11,0,0
289,4,0,2
290,6,1,0
291,4,1,1
292,8,0,1
293,3,2,0
294,4,0,1
295,6,1,1
296,3,1,0
297,6,4,1
298,8,1,0
299,6,2,0
300,7,1,2
301,8,2,0
302,6,1,1
303,6,1,3
304,7,1,2
305,3,0,1
306,6,1,1
307,3,1,0
308,5,1,3
309,4,1,1
310,4,3,1
311,7,3,0
312,6,0,0
313,7,1,2
314,3,1,2
315,5,2,3
316,6,2,2
317,4,3,0
318,5,3,1
319,6,0,0
320,5,10,10
321,8,2,2
322,4,1,1
323,6,2,3
324,7,1,1
325,7,2,2
326,7,3,0
327,7,0,0
328,2,0,0
329,5,1,3
330,4,0,2
331,6,1,0
332,6,1,2
333,5,3,0
334,4,1,2
335,9,1,1
336,6,3,0
337,6,1,1
338,3,1,1
339,4,1,1
340,6,1,0
341,7,1,2
342,7,1,1
343,5,2,0
344,15,0,2
345,8,0,0
346,3,1,0
347,6,1,2
348,1,1,4
349,3,3,0
350,6,1,2
351,3,1,0
352,1,0,1
353,5,1,2
354,4,2,4
355,3,1,0
356,6,1,2
357,4,1,4
358,9,1,0
359,4,1,1
360,3,2,1
361,2,1,3
362,3,2,3
363,11,5,5
364,6,2,0
365,5,1,1
366,6,2,1
367,8,2,1
368,8,1,0
369,9,2,0
370,5,0,2
371,4,1,0
372,9,1,0
373,6,0,2
374,8,1,0
375,6,2,1
376,5,3,1
377,6,3,3
378,5,0,0
379,6,1,1
380,9,1,1
381,4,1,2
382,3,2,3
383,4,0,1
384,6,2,2
385,3,1,0
386,9,2,0
387,6,1,2
388,4,0,1
389,5,0,0
390,3,1,4
391,4,1,1
392,6,2,1
393,5,1,1
394,6,2,2
395,3,3,2
396,7,1,1
